nr,call,startdate,enddate,qth
94,KR2V,20010607,,NY
95,NA6G,20010607,,CA
96,SV9COD,20010607,,Greece
97,W7BWI,20010607,,AZ
98,K0CIE,20010607,,OK
99,WA4KY,20010607,,KY
100,W0SDG,20010607,,MN
101,G7OED,20010607,,England
102,N3JWJ,20010607,,FL
103,KM5FT,20010609,20150406,NM
104,KG9NI,20010611,,WI
105,DL2NOH,20010611,,Germany
106,K7ZYV,20010611,,MS
107,KB3SM,20010614,,PA
108,N9BUB,20010615,,IN
109,ZL3JT,20010615,,New Zealand
110,WA4MIT,20010619,,AL
111,MM0CBL,20010619,,UK
112,W8NUE,20010622,,TX
113,KF2VX,20010630,,NY
114,AG7LB,20010630,,KY
115,TA2EY,20010630,,Turkey
116,HA1ZH,20010630,,Hungary
117,K4MG,20010718,,FL
118,LA6YJA,20010718,,Norway
119,GM0KWW,20010718,,Scotland
120,TA4KG,20010718,,Turkey
121,KB3EBG,20010730,,PA
122,SV1FKK,20010730,,Greece
123,WB5SYT,20010730,,OK
124,KF3AA,20010730,,MD
125,DA1TJO,20010730,,NY
126,K5TLG,20010804,,AR
127,HA7VA,20010816,,Hungary
128,KH6G,20010816,,HI
129,N3ETV,20010816,,PA
130,DK3FCP,20010816,,Germany
131,9A6T,20010820,,Croatia
132,NJ6VT,20010826,,CA
133,ZL2AH,20010831,,New Zealand
134,WB5TX,20010910,,TX
135,JH5OXF,20010910,,Japan
136,HP1EFR,20010910,,Panama
137,KC9CR,20010910,,IL
138,W7PSK,20010910,,WA
139,G4UCJ,20010910,,England
140,ZD8JA,20010910,,FL
141,YO2RR,20010925,,Romania
142,K4PVA,20011002,,WA
143,WB5NHL,20011002,,SC
144,N7KMV,20011019,,UT
145,K1XS,20011019,,CT
146,TA7KB,20011019,,Turkey
147,OK1VSL,20011019,,Czech Republic
148,K3NJ,20011019,,MD
149,N0BHC,20011019,,MN
150,K4FBP,20011023,20170119,FL
151,KE4BCN,20011023,,VA
152,N0OKS,20011023,,WI
153,AK6DV,20011023,,CA
154,WB3AVD,20011030,,PA
155,SV1XV,20011108,,Greece
156,W7QQ,20011109,,CA
157,OM3CRG,20011120,,Slovak Republic
158,KF4FHS,20011202,,WA
159,DL1BSC,20011210,,Germany
160,OK2SWD,20011211,,Czech Republic
161,KH6DRT,20011211,20090525,HI
162,K5CFW,20011211,,LA
163,K1VDH,20020101,,NJ
164,K0SU,20020101,20180616,CO
165,W1XQ,20020103,,TX
166,K4DS,20020105,,GA
167,WW0F,20020108,,KS
168,OK2FB,20020110,,Czech Republic
169,OK2MF,20020110,,Czech Republic
170,KO6SY,20020116,,CA
171,KK7UQ,20020116,,WA
172,WB8NUT,20020116,,OH
173,S50DX,20020116,,Slovenia
174,OK2PSG,20020121,,Czech Republic
175,VE3KI,20020121,,Canada
176,KG8JF,20020121,,OH
177,AC4M,20020121,,TN
178,N4ZUM,20020121,20170525,AL
179,WX7P,20020122,20130613,AZ
180,W0RAA,20020122,,CO
181,N2HTT,20020124,,NY
182,K3DCS,20020124,,PA
183,KF4YIO,20020125,20080425,GA
184,K6OWL,20020127,,CA
185,OK2BMS,20020128,,Czech Republik
186,KB7JMW,20020128,,WA
187,W5KEC,20020131,,AR
188,NN6DG,20020131,20140701,CA
189,N3MK,20020201,,VA
190,K9TG,20020202,,AZ
191,VE4XA,20020211,,Canada
192,N4CAP,20020220,,NC
193,PA5BM,20020223,,The Netherlands
194,N5MH,20020224,,MS
195,OM5NL,20020226,,Slovakia
196,KA0JDT,20020301,20160527,MN
197,OK2SPD,20020312,,Europe
198,OK1IVU,20020312,,Czech Republic
199,K3MZV,20020312,,MD
200,OM3AA,20020317,,Slovak Republic
201,TA2IM,20020317,,Kocaeli, Turkey
202,WI3Q,20020318,,PA
203,OK1AD,20020320,,Czech Republic
204,N7XB,20020322,20150518,OR
205,OK2BF,20020401,,Czech Republic
206,PY2MJ,20020401,,Brazil
207,YO8CYN,20020401,,Romania
208,HS0ZBS,20020403,,Thailand
209,JA9LX,20020420,,Japan
210,W4NBO,20020420,,TN
211,OM0GT,20020420,,Slovak Republic
212,OK1AZK,20020420,,Czech Republic
213,K3NAW,20020423,,PA
214,SP6RGC,20020514,,Poland
215,W4KRN,20020524,,VA
216,N4LI,20020601,,TN
217,K8IXL,20020601,,OH
218,VE9DX,20020601,,Canada
219,HP1AC,20020703,,Panama
220,HP1BSL,20020703,,FL
221,K3VOA,20020703,,DC
222,JA9MAT,20020703,,Japan
223,KB3FN,20020703,,MD
224,OK5RED,20020703,,Czech Republic
225,OM9ALZ,20020703,,Slovak Republic
226,N3EF,20020710,,MD
227,WB4RQD,20020717,,FL
228,W7LD,20020717,,WA
229,W8VOM,20020724,,MI
230,OK1CYC,20020812,,Czech Republic
231,OK1AUP,20020812,,Czech Republic
232,G6OKU,20020813,,UK
233,HP8AJT,20020814,,Panama
234,KI4MI,20020815,,CA
235,HP1DCP,20020815,,Fl
236,HP1CPE,20020815,,Fl
237,KD7KLA,20020903,,WA
238,HP1CDZ,20020911,,FL
239,PA3BAY,20020925,,The Netherlands
240,JF2IGP,20020930,,Japan
241,WB2YAF,20021001,20140417,NY
242,K4EAK,20021010,,GA
243,K4TFT,20021023,,FL
244,W5VFO,20021023,,TX
245,CE2WUI,20021104,,Chile
246,AC7ZA,20021104,20060226,WA
247,W1LXE,20021104,,NE
248,KB8VIP,20021107,,OH
249,EA3FAJ,20021115,,Spain
250,G7TMU,20021117,,England, U.K.
251,W2LTB,20021117,,KY
252,KJ7NO,20021128,,UT
253,AB0SR,20021128,,IA
254,DL0FRT,20021128,,Germany
255,N1VP,20021206,,FL
256,K5ZRK,20021206,20150911,MS
257,HP1KZ,20021206,,Panama
258,AD5EN,20021206,,SC
259,4Z4DX,20021216,,Israel
260,WA0TDQ,20021217,,MO
261,AB3AI,20021218,,PA
262,KI4A,20021218,,NC
263,YO2LOG,20021219,,Romania
264,YO2LDK,20021220,,Romania
265,9A9L,20021230,,Croatia
266,G4ZCS,20030106,,England
267,OK2PMG,20030108,,Czech Republic
268,TA1GS,20030114,,Yurkey
269,EC1DMG,20030116,,Spain
270,KC3T,20030116,,MD
271,N0IBT,20030118,,CO
272,KR4U,20030128,,FL
273,KC0HOR,20030128,,UT
274,KF0OH,20030128,,MO
275,GM4SNZ,20030202,20090731,Scotland
276,G7HJX,20030206,,UK
277,OK1KT,20030208,,Czech Republic
278,OK1ACF,20030213,,Czech Republic
279,HP2SM,20030315,,Panama
280,KD7KST,20030318,,WA
281,KM4YH,20030318,,NC
282,KX5S,20030330,20130222,TX
283,K1HTV,20030424,,MD
284,OK1AIL,20030424,20061022,Czech Republic
285,WA3KYY,20030502,,MD
286,MM0DFV,20030502,,Scotland
287,RW3AA,20030517,,Russia
288,NO9C,20030603,,WI
289,M3EDP,20030607,,UK
290,K4RKQ,20030610,,VA
291,K8SAR,20030613,,OH
292,M5PLY,20030617,,UK
293,W5VGR,20030617,,TX
294,KE8PA,20030620,,WI
295,WA3WSJ,20030702,,PA
296,KB8YIT,20030702,,WV
297,AC4RD,20030704,,NC
298,KT4NM,20030708,,FL
299,WA6NUT,20030712,,CA
300,G3YJQ,20030716,,UK
301,WN4AMO,20030716,,FL
302,WB5TOI,20030718,,TX
303,M0PSK,20030719,,UK
304,M1SWB,20030721,,UK
305,W3GCW,20030804,,MD
306,WB7DX,20030804,20171229,OR
307,KC9DEF,20030805,,WI
308,N1ZW,20030807,,RI
309,KB1IKD,20030812,,MA
310,OH4LRP,20030816,,Finland
311,OH8MWD,20030820,,Finland
312,K9VIC,20030820,,IL
313,AE7TF,20030912,,WA
314,N9NDS,20030914,,IN
315,KD7RX,20030915,,WY
316,WV7T,20030917,,CO
317,4F3FVA,20030930,,Philippines
318,K5PAX,20031029,,NM
319,N4UPX,20031029,,FL
320,OZ0F,20031029,,Demark
321,OK2ZAW,20031029,,Czech Republic
322,XQ5CL,20031102,,Chile
323,SV1CAX,20031122,,Greece
324,KA7KUZ,20031122,,WA
325,KK1X,20031126,,MA
326,G3URA,20031205,,UK
327,KD5SGT,20031206,,TX
328,N6TQS,20031220,,CA
329,K8VD,20040103,,NC
330,NW8G,20040103,,MS
331,KJ1J,20040104,,NH
332,WB0BLV,20040111,,CO
333,K8QL,20040111,,OH
334,WN1OTV,20040114,,ME
335,N0KFC,20040115,,MN
336,WB9AUJ,20040116,20151020,CA
337,K7NUU,20040118,,CA
338,K6VV,20040128,,CA
339,N7QU,20040202,,OK
340,AC0AX,20040202,,NE
341,WA3GOS,20040206,,MD
342,K0UL,20040207,,CO
343,N6VOA,20040208,,CA
344,AA7FK,20040211,20090122,OR
345,N4GSD,20040211,,VA
346,AA2C,20040217,,NJ
347,AA0UM,20040218,20050326,KS
348,WM4B,20040221,,GA
349,W4HM,20040221,,FL
350,WA5GDW,20040222,20191103,AR
351,N8TW,20040301,,OH
352,W3BNY,20040301,,MD
353,KF4NDH,20040306,20130611,TN
354,W7PAQ,20040306,,MT
355,VE3FAL,20040328,,Canada
356,W9EG,20040328,,IL
357,SP1DOZ,20040330,,Poland
358,RA9SC,20040331,,Russia
359,WA4EEZ,20040401,,FL
360,RZ3AIR,20040413,,Russia
361,KI4RO,20040421,,SC
362,KE9PH,20040427,,IL
363,AB2LA,20040427,20070517,NJ
364,WB4ZOH,20040430,,VA
365,W6UHQ,20040518,,CA
366,W3MZ,20040522,,PA
367,WA7HYD,20040607,20130519,WA
368,WB4MNK,20040607,,FL
369,W0PAS,20040607,,OH
370,KR4YD,20040607,,FL
371,G7IWA,20040609,,UK
372,W5DP,20040610,,TX
373,OM1ZL,20040610,,Slovakia
374,K1YAN,20040611,,MA
375,GM0KBU,20040611,20100831,Scotland
376,N3VOP,20040810,,MD
377,M0DMJ,20040812,,U.K.
378,M0KIG,20040816,,U.K.
379,OM3TBG,20040823,,Slovakia
380,DL7AG,20041017,,Germany
381,KB9WWM,20041028,,IN
382,KC7ZFP,20041101,20130524,OR
383,HB9OAE,20041102,20141015,Switzerland
384,KC7UWQ,20041105,,WA
385,N6TAS,20041108,,CA
386,G8KSH,20041118,,UK
387,WY7W,20041129,,WA
388,K7QXG,20041205,,OR
389,W8VBV,20041219,,MI
390,W5SWA,20041220,,TX
391,AB2RC,20050113,,NJ
392,KB3BPW,20050117,20171010,PA
393,W6RK,20050119,,CA
394,K0HW,20050125,,SD
395,W1HCB,20050125,,GA
396,W6REM,20050130,,CA
397,W3BUI,20050130,,MD
398,AG4QX,20050208,,FL
399,UR3GM,20050218,,Ukraine
400,DL0MT,20050220,,Germany
401,K3MQ,20050304,,DE
402,DL2CS,20050328,,Germany
403,N4TT,20050405,,VA
404,WA7HDZ,20050405,,WA
405,EA4ZB,20050411,,Spain
406,KG4WNA,20050429,,KY
407,DF5JG,20050503,,Germany
408,DJ6JH,20050517,,Germany
409,N5CJ,20050525,,TX
410,KI4BIY,20050531,,TN
411,K1GMD,20050606,,TX
412,K6MKF,20050606,,CA
413,K5WW,20050606,,TX
414,OZ2JP,20050606,,Denmark
415,VE7HL,20050606,,Canada
416,WZ6P,20050606,20071231,CA
417,AI3W,20050607,,PA
418,VE7AXU,20050609,,Canada
419,KG4FSN,20050609,20080125,FL
420,KF4WW,20050610,,FL
421,W8CSN,20050618,,MI
422,UT5RP,20050620,,Ukraine
423,UT5FB,20050620,,Ukraine
424,KE7CRN,20050703,,WA
425,K8VTD,20050705,,OH
426,N5UV,20050718,,TX
427,VK3GOM,20050718,,Australia
428,W4KTF,20050801,,VA
429,NB9Y,20050808,,IL
430,EA7ESI,20050809,,Spain
431,K7EV,20050904,,WA
432,K9ZW,20050904,,WI
433,KD2NL,20050910,20080711,FL
434,WA2IAM,20050928,,NY
435,KB9LNC,20051003,,IN
436,W2QO,20051005,,NJ
437,KA9DFI,20051007,,IL
438,YO6HQ,20051008,,Romania
439,K1DJE,20051022,,PA
440,K4AAG,20051102,,TN
441,KN3A,20060106,,PA
442,EA4BDL,20060110,,Spain
443,OK1NZJ,20060110,,Czech Republic
444,HB9TUO,20060110,,Switzerland
445,VE3XK,20060111,20100115,Canada
446,NF7H,20060111,,CO
447,N9KO,20060112,,IL
448,NM7H,20060112,,NE
449,KI4CBF,20060112,,VA
450,F8AEJ,20060114,,France
451,W3HNL,20060118,,MD
452,DG2RSF,20060120,,Germany
453,I7PXV,20060120,,Italy
454,N9AVY,20060121,,IL
455,AI4KN,20060121,,AL
456,HP1ALX,20060204,,Panama
457,NN1J,20060204,,ME
458,K7RE,20060204,,SD
459,KE5AQD,20060204,,TX
460,W8HL,20060204,,MI
461,W6KY,20060208,,CA
462,ZL3KR,20060208,,New Zealand
463,N7GVV,20060213,,IN
464,KC9FOA,20060222,,WI
465,G6HXL,20060313,,UK
466,IZ3EOU,20060319,,Italy
467,OK2PCQ,20060319,,Chech Republic
468,HA7PO,20060321,,Hungary
469,VE7JRX,20060327,,Canada
470,M5AAV,20060403,20080326,UK
471,LW2EIY,20060425,,Argentina
472,EA5XC,20060524,,Spain
473,IW7EHC,20060524,,Italy
474,W7HO,20060525,,OR
475,KD5DE,20060529,,LA
476,AD4RX,20060605,,FL
477,NY4FL,20060605,,FL
478,KC3TK,20060605,,MD
479,N7YG,20060605,,AZ
480,K4QHH,20060605,,NC
481,K4ORY,20060605,20190427,FL
482,W3SW,20060614,,NY
483,K5SP,20060614,,TX
484,AE2AA,20060614,20160513,NJ
485,G1DJA,20060615,,UK
486,AG5P,20060615,,AR
487,AJ5S,20060627,,MS
488,N9ANA,20060704,,IL
489,LU7EH,20060704,,Argentina
490,W4IEI,20060717,,GA
491,WG5T,20060727,,OK
492,AG3BI,20060727,,MD
493,G4DZE,20060806,,UK
494,WB8MKH,20060806,20131123,MI
495,W4SCO,20060811,,GA
496,G7USC,20060814,,UK
497,HI8LAM,20060912,,Dominican Republic
498,W2BOC,20060925,20081001,NJ
499,K5FBS,20060927,,TX
500,KE0N,20061002,,MN
501,M0OKT,20061007,,UK
502,M5AEX,20061008,,UK
503,N5PU,20061128,,MS
504,W8WKE,20061129,,TX
505,NJ2DX,20061129,,NJ
506,WK8L,20061129,,OH
507,K4CMC,20061129,,FL
508,NZ9I,20061130,,WI
509,W4ATK,20061130,,AL
510,KC0OFK,20061207,,CO
511,KD5HIP,20061207,,AR
512,ZL3RG,20061207,,New Zealand
513,AI4QB,20061208,,VA
514,K4OP,20061208,,KY
515,W1HKJ,20061208,,AL
516,VK3AMA,20061208,,Australia
517,K1PGV,20061208,,NH
518,N9JGZ,20061208,,IL
519,WQ9Z,20061208,,IL
520,K4JYB,20061208,,FL
521,UR7FM,20061209,,Ukraine
522,EA3FHP,20061217,,Spain
523,AD1Y,20061218,,NY
524,K6NLX,20061231,,CA
525,N8MNI,20070101,20190125,OH
526,VA3TPS,20070101,,Canada
527,KJ6QB,20070105,20081007,CA
528,KC5E,20070109,,CA
529,YU1RP,20070109,,Serbia
530,OK1ZHV,20070110,,Czech Republic
531,CU2JT,20070110,,Portugal
532,N3TXH,20070112,20090113,PA
533,F6FJE,20070112,,France
534,PA3FYG,20070112,,The Netherlands
535,NX7F,20070114,,TX
536,VE3OIJ,20070114,,Canada
537,KC2QII,20070114,,New Jersey
538,W5RST,20070118,,OK
539,WG7H,20070120,,NV
540,WA6L,20070207,20121217,CA
541,N4CI,20070208,,GA
542,AD6ZH,20070221,,CA
543,OK1DOZ,20070222,,Czech Republic
544,OK1SRD,20070223,,Czech Republic
545,SV2HRS,20070303,,Greece
546,KF6NNM,20070308,,CA
547,CT1BWU,20070309,,Portugal
548,W4FRA,20070318,20161022,NC
549,CT1HAR,20070318,,Portugal
550,AB3S,20070324,,PA
551,SV2HRV,20070326,,Greece
552,SV2CWV,20070327,,Greece
553,N0RQ,20070412,,TX
554,KB5HPL,20070412,,TX
555,M1FJG,20070413,,UK
556,OK1WCF,20070413,,Czeck Republic
557,N3ATS,20070413,,PA
558,N6ERD,20070413,,CA
559,K4JHK,20070414,,FL
560,W7GSV,20070420,,ID
561,KC5YPU,20070422,,TX
562,VA7PX,20070422,,BC
563,N2EOC,20070428,,NJ
564,EA1IDG,20070501,,Spain
565,KB2VMG,20070502,,NJ
566,WX6Y,20070512,,SC
567,AC5ZS,20070517,,FL
568,UT4UQ,20070517,,Ukraine
569,K1PSK,20070521,,SC
570,ON7MV,20070523,,Belgium
571,EA1CUI,20070617,,Spain
572,DO9FB,20070617,,Germany
573,AB5TQ,20070617,,AR
574,AE5MM,20070617,,OK
575,G0LWG,20070617,,UK
576,IZ5HNI,20070617,,Italy
577,K6WRJ,20070617,,CA
578,KA3L,20070617,,CA
579,KC4TVZ,20070617,,GA
580,KD4BVG,20070617,,GA
581,KK3Q,20070617,,FL
582,K4LRP,20070617,,FL
583,KV9R,20070617,,VT
584,LU6DLL,20070617,,Argentina
585,W0HT,20070617,,MN
586,N2MH,20070617,,NJ
587,NE5RD,20070617,,TX
588,W0KIT,20070617,20190712,CO
589,N0VPL,20070617,,TX
590,W4ZYD,20070617,,VA
591,W5CDR,20070617,,VA
592,WX5NCO,20070617,,OK
593,NJ4F,20070617,,SC
594,KC8U,20070618,,OH
595,K7CWQ,20070622,,OR
596,W4LSC,20070622,20180130,AZ
597,KB1AF,20070624,20090901,FL
598,KL7JGN,20070624,,AK
599,N5DAS,20070702,,TX
600,WD6CWE,20070705,,NC
601,WI3L,20070707,,PA
602,G0RSQ,20070708,,UK
603,KD1UA,20070717,,R.I.
604,KN4SA,20070717,,NC
605,KF4GRA,20070721,,AL
606,KA9BHD,20070721,,IL
607,AA7CP,20070721,20110728,KS
608,DK4WO,20070721,,Germany
609,N0OB,20070721,20110428,NE
610,N4SCF,20070721,,FL
611,KA5EYH,20070723,20140315,TX
612,AA5VU,20070724,20190125,TX
613,N0LTM,20070728,,IL
614,WT6X,20070729,,CA
615,DL5IB,20070802,,Germany
616,KB3JJV,20070804,,PA
617,K4EXT,20070807,,AL
618,N4LCC,20070807,,GA
619,N2GWK,20070812,,KY
620,KB5UNX,20070813,,TX
621,DK2AJ,20070813,,Germany
622,DK9KF,20070815,,Germany
623,AD7KU,20070823,,NV
624,KG4VBK,20070825,,AL
625,W7TOD,20070901,,UT
626,WB1W,20070901,,MA
627,JF2SKV,20070913,,Japan
628,KE7XU,20070914,20110316,UT
629,VE3XAT,20070914,,Canada
630,KI4SMP,20070917,,KY
631,DD7DX,20070920,,Germany
632,K7STH,20070922,,UT
633,AD5ZA,20071001,,TX
634,CT1BYK,20071001,,Portugal
635,HP1AVS,20071003,,Panama
636,KX8C,20071004,,OH
637,SM0KCR,20071004,,Sweden
638,N1ESE,20071007,,MO
639,KC8UR,20071007,,OH
640,DC3CD,20071014,,Germany
641,VA3HJ,20071014,,On
642,AD6ZJ,20071016,,CA
643,WU8Y,20071029,,MI
644,N5FPW,20071029,,NC
645,N8WP,20071102,,CA
646,W1IPS,20071104,,NH
647,AG0A,20071117,,CO
648,K7KTP,20071118,20141116,OR
649,DH5WB,20071129,,Germany
650,N6MG,20071203,,CA
651,WP3UX,20071218,,Puerto Rico
652,YO6AJI,20071222,,Romania
653,KI4ZCB,20071222,20170827,FL
654,SP4CJA,20071222,,Poland
655,AI6O,20071222,,CA
656,KB6OJE,20080101,,TX
657,YO6EX,20080105,,Romania
658,W7WIA,20080107,,AZ
659,N1SPX,20080110,,MO
660,KC2QXE,20080110,,NY
661,N4YZ,20080113,,NC
662,KR7RK,20080113,,AZ
663,HA3DMF,20080115,,Hungary
664,WA0CKO,20080115,20120701,MO
665,AE4TX,20080118,,AL
666,N4CR,20080119,20150416,FL
667,G0BYH,20080121,,UK
668,OL5DIG,20111031,,Czech Republic
669,K6ASK,20080121,,CA
670,DK9MS,20080123,,Germany
671,K6SID,20080124,,CA
672,KO4PU,20080125,,KY
673,IZ5MJQ,20080203,,Italy
674,N0KMA,20080208,,MO
675,W4MAA,20080209,,GA
676,NM6K,20080211,,CA
677,K3PRN,20080219,20190112,MD
678,DK3HJ,20080220,,Germany
679,VE1CDD,20080227,20190105,Canada
680,N9AAA,20080304,,WI
681,KN4DS,20080305,,GA
682,EA4AFA,20080305,,Spain
683,N4ZQ,20080308,,Fl
684,LZ1SJ,20080309,,Bulgaria
685,N9JLY,20080313,,WI
686,K3CXB,20080317,20121027,MD
687,VE3JW,20080319,,Canada
688,WB2HTO,20080319,,MA
689,AB8VX,20080324,,OH
690,SQ2BXI,20080329,,Poland
691,N5RJS,20080330,,AR
692,KG4LUN,20080402,,VA
693,KP4ED,20080416,,PR
694,G8HWI,20080416,,UK
695,KB9BVN,20080416,,IN
696,KU4JZ,20080422,,NC
697,AL7GA,20080422,20170317,AK
698,N7CQU,20080424,,OR
699,EI9HQ,20080424,,Ireland
700,W5KAM,20080501,,TX
701,KR7U,20080505,,OK
702,KF4IMF,20080506,,FL
703,ON2AD,20080508,,Belgium
704,AE5PW,20080509,,AR
705,K8OUX,20080520,20170316,MS
706,W3MEL,20080520,,PA
707,AE1P,20080520,,NH
708,W0RTV,20080520,,MO
709,AD7OY,20080520,,NV
710,KF2GQ,20080523,,FL
711,K7PWL,20080524,,WA
712,N7ELF,20080524,,WA
713,K0NO,20080602,,IA
714,KM5EH,20080602,,NM
715,W5GVP,20080602,20180525,TX
716,AI4ZL,20080602,,KY
717,PA3HIZ,20080604,,Netherlands
718,N2MLP,20080604,,PA
719,W4CMM,20080604,,FL
720,IW4EJK,20080604,,Italy
721,W1CDX,20080604,,NC
722,KB3LIX,20080604,,PA
723,KD5HOP,20080604,,TX
724,KC6SOC,20080604,,CA
725,K2JNC,20080605,,NJ
726,WB0PTO,20080605,,MN
727,K4JTN,20080605,,VA
728,KB3NPH,20080605,,PA
729,AA0K,20080605,,CO
730,N3CHX,20080605,,PA
731,W7IXZ,20080608,,OR
732,KA1KE,20080608,,CT
733,KI4ITV,20080608,,VA
734,SV9AHZ,20080608,,Greece
735,KD7JC,20080608,,WA
736,M1EBU,20080609,,UK
737,N9KOW,20080609,,WI
738,N2LD,20080610,,NJ
739,NE5DL,20080610,,TX
740,W7GMC,20080611,,MT
741,N3DCJ,20080611,,FL
742,KI5IK,20080616,,NM
743,N8VFJ,20080616,,WV
744,VE3YXO,20080617,,Canada
745,N3VMC,20080617,,PA
746,W6OLA,20080618,,WA
747,KC3EF,20080621,,FL
748,WD8KRV,20080621,,AZ
749,W5MSV,20080621,,MS
750,N5KMZ,20080623,,OK
751,KC2GIK,20080624,,NJ
752,N3KTA,20080625,,PA
753,K7EIQ,20080626,,WA
754,SV7CUD,20080626,,Greece
755,PA4JB,20080629,,Netherlands
756,KC4RHW,20080707,20110308,TN
757,SM6UCK,20080707,,Sweden
758,KC4ART,20080708,20160105,VA
759,KC7KZ,20080712,,ID
760,W4SCI,20080713,20110308,TN
761,N5JBD,20080717,,TX
762,W8OSP,20080724,,OH
763,KH6F,20080729,,HI
764,W6PK,20080729,,CA
765,WY2E,20080805,,NY
766,WB4PPW,20080807,,GA
767,NS2M,20080807,,PA
768,ON5LG,20080808,,Belgium
769,KU1T,20080809,,WV
770,N7IXI,20080824,,OR
771,N9VEL,20080828,,GA
772,N2WCY,20080828,,NY
773,KD7I,20080829,,UT
774,EA8ALP,20080830,,Canary Islands
775,WS0Z,20080830,,MO
776,K3JT,20080908,,WV
777,NO8R,20080908,,MI
778,KI4HPX,20080908,,GA
779,UN7DA,20080929,,Kazakhstan
780,WA3YFQ,20080929,,Fl
781,KD4SM,20081019,,NC
782,N4FN,20081019,,GA
783,W3ADC,20081024,,MD
784,WA0SKN,20081024,,KS
785,YO6CFB,20081024,,Romania
786,W4JAG,20081030,,GA
787,DL4HTK,20081101,,Germany
788,PY6WJ,20081101,,Brazil
789,SM6H,20081101,,Sweden
790,N6TE,20081109,,CA
791,W9DUD,20081109,20180131,WV
792,VA3SQ,20081110,,Canada
793,KD0R,20081110,,KS
794,W9MNC,20081114,,WI
795,KA9CCH,20081123,,IL
796,N2AE,20081123,,NY
797,N9JCA,20081124,,IN
798,AB0JM,20081126,,HI
799,N0TUN,20081128,,TX
800,N6PZ,20081202,,OR
801,N6PCD,20081202,,MO
802,AK4BG,20081206,,KY
803,AD2AM,20081208,20121124,CA
804,KS0USA,20081208,,KS
805,VE2GHI,20081209,,Canada
806,KD8BIN,20081209,,OH
807,K3UJ,20081209,,PA
808,N8XLS,20081210,,OH
809,NG7Z,20081210,,WA
810,K0FBV,20081211,,IA
811,WB4FSD,20081211,,NC
812,KA1JF,20081215,,RI
813,KD4VLF,20081215,,NC
814,KG6MZS,20081217,,CA
815,K8TOM,20081220,,WA
